,bid,ask,last,openinterest,type,expiration,strike,underlying,underlying_last,quotedate,implied_vol,delta,gamma,vega,theta,rho,ticker,event_date,day_to_event
2016-02-17,1096.0,1176.0,1172.9,0.0,put,2016-02-18,6050,AS51,4882.1,2016-02-17,2.0325783564783144,-0.9750867880117927,0.00011172711791941917,0.14829495273333082,-15.373486272470542,-0.16255811528088693,AS51 02-18-16 P6050 Index,2015-12-16,-63
2016-02-18,,,1098.0,0.0,put,2016-02-18,6050,AS51,4991.997,2016-02-18,4.774081820409556,-0.8844914833944544,0.000258287290182803,0.30728511624171295,-201.2395130807392,-0.055133788316306664,AS51 02-18-16 P6050 Index,2015-12-16,-64
2015-12-04,3.0,6.0,4.6,0.0,put,2016-01-21,4350,AS51,5151.607,2015-12-04,0.2407854123013532,-0.026082738893581512,0.00013449258925780097,1.1302183368971566,-0.29338232860351987,-0.1827524650038534,AS51 01-21-16 P4350 Index,2015-12-16,12
2015-12-07,2.0,6.0,4.0,500.0,put,2016-01-21,4350,AS51,5155.697,2015-12-07,0.24418961712069187,-0.023431171542806634,0.0001250982546154392,1.0010894062188753,-0.2805272684338423,-0.15386797088597282,AS51 01-21-16 P4350 Index,2015-12-16,9
2015-12-08,3.0,7.0,5.1,500.0,put,2016-01-21,4350,AS51,5108.605,2015-12-08,0.24576428061965616,-0.029373570135048873,0.00015323959959546865,1.1848250607113846,-0.34195630614984485,-0.18703974135423282,AS51 01-21-16 P4350 Index,2015-12-16,8
2015-12-09,4.0,6.0,5.6,500.0,put,2016-01-21,4350,AS51,5080.4529999999995,2015-12-09,0.2456718714063647,-0.032376810631019624,0.00016901267054843442,1.2625691261843461,-0.37279627095788576,-0.20037866252422493,AS51 01-21-16 P4350 Index,2015-12-16,7
2015-12-10,5.0,11.0,7.4,500.0,put,2016-01-21,4350,AS51,5037.717000000001,2015-12-10,0.2503640601118083,-0.04129250454807269,0.0002064782453527482,1.5096290565839183,-0.4652665843004871,-0.24788049286698435,AS51 01-21-16 P4350 Index,2015-12-16,6
2015-12-11,5.0,8.0,7.0,500.0,put,2016-01-21,4350,AS51,5029.45,2015-12-11,0.24850142530650207,-0.04010229952256966,0.00020595367938454462,1.4542210316943966,-0.45556283252485946,-0.23442172393658367,AS51 01-21-16 P4350 Index,2015-12-16,5
2015-12-14,12.0,14.0,14.0,538.0,put,2016-01-21,4350,AS51,4928.598,2015-12-14,0.2667508540309946,-0.07171618900739374,0.0003221103128999532,2.172941194540119,-0.7886355448281022,-0.3825613725194405,AS51 01-21-16 P4350 Index,2015-12-16,2
2015-12-15,9.0,16.0,14.5,540.0,put,2016-01-21,4350,AS51,4909.555,2015-12-15,0.266332979447135,-0.07507931624645774,0.0003399259556878863,2.212087968495317,-0.8232278054778329,-0.3883540603164927,AS51 01-21-16 P4350 Index,2015-12-16,1
2015-12-16,5.0,9.0,8.0,553.0,put,2016-01-21,4350,AS51,5028.447,2015-12-16,0.2725167882937389,-0.043942239826596986,0.0002158835093318554,1.46720271345869,-0.5715938840987917,-0.22582476890564263,AS51 01-21-16 P4350 Index,2015-12-16,0
2015-12-17,2.0,,2.9,1305.0,put,2016-01-21,4350,AS51,5102.008,2015-12-17,0.25027681465893953,-0.01950895542716399,0.00011981523038377402,0.748497056014675,-0.2749765296241505,-0.09822519542838885,AS51 01-21-16 P4350 Index,2015-12-16,-1
2015-12-18,2.0,6.0,3.1,1390.0,put,2016-01-21,4350,AS51,5106.659000000001,2015-12-18,0.2579233293010537,-0.020389160180983714,0.0001223507000405847,0.7665788879543403,-0.29845868029752465,-0.09987661927623329,AS51 01-21-16 P4350 Index,2015-12-16,-2
2015-12-21,1.0,3.0,3.0,1390.0,put,2016-01-21,4350,AS51,5109.049,2015-12-21,0.26971213376396946,-0.01982467963922918,0.00011960167053267188,0.7151327969356737,-0.31858400782846125,-0.08857104247314665,AS51 01-21-16 P4350 Index,2015-12-16,-5
2015-12-22,1.0,2.0,1.5,1390.0,put,2016-01-21,4350,AS51,5116.691,2015-12-22,0.2500565848509462,-0.011600025926542398,8.264113977302433e-05,0.44467361899083346,-0.18972255083418568,-0.05001677939022422,AS51 01-21-16 P4350 Index,2015-12-16,-6
2015-12-23,1.0,1.0,1.0,1390.0,put,2016-01-21,4350,AS51,5141.779,2015-12-23,0.24775047435277042,-0.008208277785318907,6.241261135830038e-05,0.32480207453819093,-0.1418730466778017,-0.034327379724352285,AS51 01-21-16 P4350 Index,2015-12-16,-7
2015-12-24,,2.0,0.8,1390.0,put,2016-01-21,4350,AS51,5207.649,2015-12-24,0.2618827227949058,-0.00639858136126603,4.763308372541564e-05,0.25951599018967086,-0.12383423369583162,-0.026175447758017518,AS51 01-21-16 P4350 Index,2015-12-16,-8
2015-12-29,,1.0,0.5,1390.0,put,2016-01-21,4350,AS51,5267.344,2015-12-29,0.2899248584389766,-0.004111709281716511,3.166610248894135e-05,0.1605086355142031,-0.10277178594463066,-0.013962441258637165,AS51 01-21-16 P4350 Index,2015-12-16,-13
2015-12-30,,1.0,0.6,1390.0,put,2016-01-21,4350,AS51,5319.941999999999,2015-12-30,0.316386657382001,-0.00452962595823603,3.203173481783795e-05,0.17287899609052054,-0.12609725850239192,-0.014886072393129366,AS51 01-21-16 P4350 Index,2015-12-16,-14
